Item Name,Vendor Item Code,Packaging Information,Unit of Measure,Unit/Box,Item Color,Item Size,PCs in a Box,SF by PC/SHEET,SF By Box,Cost,Group,Finish
2040SRHR Right Hand Return Step Nose Textured,XTP2040SRHR,1.00 PC/CTN,PC,1,,"20X40",1.00,,,165.42,Delegate,Textured,1
Mosaic Tile 12x30 Sheet Random Linear,RANDMS1P2,7.52 SF/CTN,SF,1,"Off White, Light Grey, Dark Grey",12x30,7.52,1,7.52,15.48,Delegate,Matte,1
Rectangle Wall Tile Matte,6402CML41P,2.00 PC/CTN,PC,1,Dark Grey,6X40,2.00,,,199.61,Delegate,Matte,2
Rectangle Floor Tile Matte,PLK624MT,10.23 SF/CTN,SF,1,,6X24,10.23,1,10.23,7.81,Dignitary,Matte,2
Rectangle Floor Tile Light Polished,12241LK,15.12 SF/CTN,SF,1,,12X24,15.12,1,15.12,9.89,Dignitary,Light Polished,2
Rectangle Floor Tile Light Polished,RCT1224LP,17.02 SF/CTN,SF,1,,12X24,17.02,1,17.02,9.89,Dignitary,Light Polished,2
Rectangle Floor Tile Matte,12241PK,15.12 SF/CTN,SF,1,,12X24,15.12,1,15.12,6.06,Dignitary,Matte,2
Rectangle Floor Tile Matte,RCT1224MT,17.02 SF/CTN,SF,1,,12X24,17.02,1,17.02,6.06,Dignitary,Matte,2
Rectangle Floor Tile Textured,RCT1224TX,17.02 SF/CTN,SF,1,,12X24,17.02,1,17.02,7.47,Dignitary,Textured,2
Square Floor Tile Matte,24241PK,15.20 SF/CTN,SF,1,,24X24,15.20,1,15.20,6.38,Dignitary,Matte,2
Xterior Paver Tile Textured,XTP2424TX,7.60 SF/CTN,SF,1,,24X24,7.60,1,7.60,7.03,Dignitary,Textured,2
Rectangle Floor Tile Matte,24481P,15.50 SF/CTN,SF,1,,24X48,15.50,1,15.50,9.97,Dignitary,Matte,2
SC36C9 Cove Base Outcorner Matte,SC36C9MT,15.00 PC/CTN,PC,1,,1X6,15.00,1,15.00,15.69,Dignitary,Matte,3
SC36C9 Cove Base Outcorner Matte,SC36C9T1P,10.00 PC/CTN,PC,1,,1X6,10.00,1,10.00,13.23,Dignitary,Matte,3
P43F9 Bullnose Matte,P43F91P1,10.00 PC/CTN,PC,1,,3X24,10.00,1,10.00,10.84,Dignitary,Matte,3
S36C9 Cove Base Matte,S36C9MT,22.00 PC/CTN,PC,1,,6X12,22.00,1,22.00,15.69,Dignitary,Matte,3
S36C9 Cove Base Matte,S36C9T1P,20.00 PC/CTN,PC,1,,6X12,20.00,1,20.00,15.33,Dignitary,Matte,3
XTP624GGT Gutter Grid Tile Textured,XTP624GGT,200.00 PC/CTN,PC,1,,6X24,200.00,1,200.00,86.07,Dignitary,Textured,3
XTP624GT Gutter Tile Textured,XTP624GT,2.00 PC/CTN,PC,1,,6X24,2.00,1,2.00,102.12,Dignitary,Textured,3
XTP1224C6TX Coping 6cm Return Textured,XTP1224C6TX,2.00 PC/CTN,PC,1,,12X24,2.00,1,2.00,76.68,Dignitary,Textured,3
XTP1224S Step Nose Textured,XTP1224S,2.00 PC/CTN,PC,1,,12X24,2.00,1,2.00,66.34,Dignitary,Textured,3
XTP1224SLHR Left Hand Return Step Nose Textured,XTP1224SLHR,2.00 PC/CTN,PC,1,,12X24,2.00,1,2.00,75.72,Dignitary,Textured,3
XTP1224SRHR Right Hand Return Step Nose Textured,XTP1224SRHR,2.00 PC/CTN,PC,1,,12X24,2.00,1,2.00,75.72,Dignitary,Textured,3
Gradino Step Tread Matte,12242CMST1P,3.00 PC/CTN,PC,1,,12X24,3.00,1,3.00,63.59,Dignitary,Matte,3
XTP2424STX Step Nose Textured,XTP2424STX,2.00 PC/CTN,PC,1,,24X24,2.00,1,2.00,79.18,Dignitary,Textured,3
XTP2424SLHR Left Hand Return Step Nose Textured,XTP2424SLHR,2.00 PC/CTN,PC,1,,24X24,2.00,1,2.00,111.70,Dignitary,Textured,3
XTP2424SRHR Right Hand Return Step Nose Textured,XTP2424SRHR,2.00 PC/CTN,PC,1,,24X24,2.00,1,2.00,111.70,Dignitary,Textured,3
Mosaic Tile 12x12 Sheet Abstract,1212MS1P2,3.88 SF/CTN,SF,1,"Luminary White, Superior Taupe, Notable Beige, Eminence Grey, Governor Black, Herald Brown",12x12,3.88,1,3.88,19.22,Dignitary,Matte,4
Rectangle Floor Tile Matte,12241P,9.70 SF/CTN,SF,1,,12X24,9.70,1,9.70,7.83,Diplomacy,Matte,4
Xterior Paver Tile Textured,20402CM1P,5.38 SF/CTN,SF,1,,20X40,5.38,1,5.38,9.79,Diplomacy,Textured,4
Square Floor Tile Matte,24241P,11.64 SF/CTN,SF,1,,24X24,11.64,1,11.64,8.23,Diplomacy,Matte,4
Xterior Paver Tile Textured,24242CM1P,7.76 SF/CTN,SF,1,,24X24,7.76,1,7.76,10.24,Diplomacy,Textured,4
Rectangle Floor Tile Matte,24481P,15.50 SF/CTN,SF,1,,24X48,15.50,1,15.50,5.65,Diplomacy,Matte,4
SC36C9 Cove Base Outcorner Matte,SC36C9T1P,10.00 PC/CTN,PC,1,,1X6,10.00,1,10.00,15.06,Diplomacy,Matte,5
S43F9 Bullnose Matte,S43F91P1,10.00 PC/CTN,PC,1,,3X24,10.00,1,10.00,12.56,Diplomacy,Matte,5
640GGT Gutter Grid Tile Textured,XTP640GGT,3.00 PC/CTN,PC,1,,6X40,3.00,1,3.00,152.96,Diplomacy,Textured,5
640GT Gutter Tile Textured,XTP640GT,2.00 PC/CTN,PC,1,,6X40,2.00,1,2.00,211.34,Diplomacy,Textured,5
1220C6 Coping 6cm Return Textured,XTP1220C6TX,2.00 PC/CTN,PC,1,,12X20,2.00,1,2.00,73.32,Diplomacy,Textured,5
2020S Step Nose Textured,XTP2020STX,2.00 PC/CTN,PC,1,,20X20,2.00,1,2.00,76.10,Diplomacy,Textured,5
2020SLHR Left Hand Return Step Nose Textured,XTP2020SLHR,2.00 PC/CTN,PC,1,,20X20,2.00,1,2.00,99.59,Diplomacy,Textured,5
2020SRHR Right Hand Return Step Nose Textured,XTP2020SRHR,2.00 PC/CTN,PC,1,,20X20,2.00,1,2.00,99.59,Diplomacy,Textured,5
2040SLHR Left Hand Return Step Nose Textured,XTP2040SLHR,1.00 PC/CTN,PC,1,,20X40,1.00,1,1.00,166.14,Diplomacy,Textured,5
2040SRHR Right Hand Return Step Nose Textured,XTP2040SRHR,1.00 PC/CTN,PC,1,,20X40,1.00,1,1.00,166.14,Diplomacy,Textured,5
2040SRHR Right Hand Return Step Nose Textured,XTP2040SRHR,2.00 PC/CTN,PC,1,,20X40,2.00,1,2.00,166.14,Diplomacy,Textured,5
5/8X1 Brick Joint Matte,581BJMS1P,3.88 SF/CTN,SF,1,,12x12,3.88,1,3.88,25.02,Diplomacy,Matte,5
24481P Rectangle Matte,24481P,15.50 SF/CTN,SF,1,,24X48,15.50,1,15.50,9.26,Consulate,Matte,6
SC36C9 Cove Base Outcorner Matte,SC36C9T1P,10.00 PC/CTN,PC,1,,1X6,10.00,1,10.00,13.18,Consulate,Matte,6
PLK624MT Rectangle Matte,PLK624MT,10.23 SF/CTN,SF,1,,6X24,10.23,1,10.23,7.81,Haut Monde,Matte,6
12121PK Square Matte,12121PK,12.22 SF/CTN,SF,1,,12X12,12.22,1,12.22,5.32,Haut Monde,Matte,6
RCT1224LP Rectangle Light Polished,RCT1224LP,17.02 SF/CTN,SF,1,,12X24,17.02,1,17.02,6.85,Haut Monde,Light Polished,6
RCT1224MT Rectangle Matte,RCT1224MT,17.02 SF/CTN,SF,1,,12X24,17.02,1,17.02,4.64,Haut Monde,Matte,6
24241PK Square Matte,24241PK,15.20 SF/CTN,SF,1,,24X24,15.20,1,15.20,5.81,Haut Monde,Matte,6
24481PK Rectangle Matte,24481PK,15.26 SF/CTN,SF,1,,24X48,15.26,1,15.26,4.49,Haut Monde,Matte,7
SC36C9 Cove Base Outcorner Matte,SC36C9MT,15.00 PC/CTN,PC,1,,1X6,15.00,1,15.00,15.33,Haut Monde,Matte,7
SC36C9 Cove Base Outcorner Matte,SC36C9T1P,10.00 PC/CTN,PC,1,,1X6,10.00,1,10.00,13.04,Haut Monde,Matte,7
S43F9 Bullnose Matte,P43F91P1,10.00 PC/CTN,PC,1,,3X24,10.00,1,10.00,11.36,Haut Monde,Matte,7
S36C9 Cove Base Matte,S36C9MT,22.00 PC/CTN,PC,1,,6X12,22.00,1,22.00,15.33,Haut Monde,Matte,7
S36C9 Cove Base Matte,S36C9T1P,20.00 PC/CTN,PC,1,,6X12,20.00,1,20.00,14.71,Haut Monde,Matte,7
S36C9 Cove Base Matte,S36C9T1P,20.00 PC/CTN,PC,1,,6X12,20.00,1,20.00,14.01,Haut Monde,Matte,7
22MS1P1 Straight Joint Matte,22MS1P1,10.00 SF/CTN,SF,1,"Glitterati Granite, Leisure Beige, Elite Grey, Empire Black, Aristocrat Cream, Nobility White",12x12,10.00,1,10.00,16.31,Haut Monde,Matte,8
RCT1224RMTJ Rectangle Matte,RCT1224RMTJ,17.02 SF/CTN,SF,1,,12X24,17.02,1,17.02,5.41,SYNCHRONIC,Matte,8
RCT1224RTXJ Rectangle Textured,RCT1224RTXJ,17.02 SF/CTN,SF,1,,12X24,17.02,1,17.02,5.40,SYNCHRONIC,Textured,8
RCT1836RMT Rectangle Matte,RCT1836RMT,12.90 SF/CTN,SF,1,,18X36,12.90,1,12.90,4.03,SYNCHRONIC,Matte,8
SQU2424RMT Square Matte,SQU2424RMT,15.21 SF/CTN,SF,1,,24X24,15.21,1,15.21,3.66,SYNCHRONIC,Matte,8
PC36C9MT1 Cove Base Outcorner Matte,PC36C9MT1,15.00 PC/CTN,PC,1,,1X6,15.00,1,15.00,12.12,SYNCHRONIC,Matte,9
P43F9MT1 Bullnose Matte,P43F9MT1,10.00 PC/CTN,PC,1,,3X24,10.00,1,10.00,7.73,SYNCHRONIC,Matte,9
P36C9MT1 Cove Base Matte,P36C9MT1,22.00 PC/CTN,PC,1,,6X12,22.00,1,22.00,12.12,SYNCHRONIC,Matte,9
STJ16MSMT Straight Joint Matte,STJ16MSMT,10.00 SF/CTN,SF,1,"White, Beige, Taupe, Grey, Charcoal",12x12,10.00,1,10.00,15.53,SYNCHRONIC,Matte,9
8471P Plank Matte,8471P,14.75 SF/CTN,SF,1,,8X48,14.75,1,14.75,2.82,TRANSIO,Matte,10
RCT1224MT Rectangle Matte,RCT1224MT,17.02 SF/CTN,SF,1,,12X24,17.02,1,17.02,5.90,ASSEMBLE,Matte,10
30301P Square Matte,30301P,12.12 SF/CTN,SF,1,,30X30,12.12,1,12.12,7.50,ASSEMBLE,Matte,10
30601P Rectangle Matte,30601P,24.22 SF/CTN,SF,1,,30X60,24.22,1,24.22,7.41,ASSEMBLE,Matte,10
32322CM1P Xterior Paver Textured,32322CM1P,6.89 SF/CTN,SF,1,,32X32,6.89,1,6.89,11.38,ASSEMBLE,Textured,10
XTP632GGT Gutter Grid Tile Textured,XTP632GGT,200.00 PC/CTN,PC,1,,6X32,200.00,1,200.00,121.33,ASSEMBLE,Textured,10
XTP632GT Gutter Tile Textured,XTP632GT,2.00 PC/CTN,PC,1,,6X32,2.00,1,2.00,166.93,ASSEMBLE,Textured,10
XTP1232C6TX Coping 6cm Return Textured,XTP1232C6TX,2.00 PC/CTN,PC,1,,12X32,2.00,1,2.00,115.99,ASSEMBLE,Textured,10
XTP1632STX Step Nose Textured,XTP1632STX,2.00 PC/CTN,PC,1,,16X32,2.00,1,2.00,109.15,ASSEMBLE,Textured,10
XTP1632SLHR Left Hand Return Step Nose Textured,XTP1632SLHR,2.00 PC/CTN,PC,1,,16X32,2.00,1,2.00,116.49,ASSEMBLE,Textured,10
XTP1632SRHR Right Hand Return Step Nose Textured,XTP1632SRHR,2.00 PC/CTN,PC,1,,16X32,2.00,1,2.00,116.49,ASSEMBLE,Textured,10
1212MS1P Straight Joint Matte,1212MS1P,3.88 SF/CTN,SF,1,Proxy,12x12,3.88,1,3.88,16.77,ASSEMBLE,Matte,10
16482CM1P Xterior Paver Textured,16482CM1P,5.16 SF/CTN,SF,1,,16X48,5.16,1,5.16,10.93,COMMISSARY,Textured,11
XTP624GGT Gutter Grid Tile Textured,XTP624GGT,200.00 PC/CTN,PC,1,,6X24,200.00,1,200.00,89.38,COMMISSARY,Textured,11
XTP624GT Gutter Tile Textured,XTP624GT,2.00 PC/CTN,PC,1,,6X24,2.00,1,2.00,108.94,COMMISSARY,Textured,11
6242CML41P L-Edging Matte,6242CML41P,2.00 PC/CTN,PC,1,,6X24,2.00,1,2.00,84.68,COMMISSARY,Matte,11
6482CML41P L-Edging Matte,6482CML41P,2.00 PC/CTN,PC,1,,6X48,2.00,1,2.00,308.56,COMMISSARY,Matte,11
12242CMST1P Gradino Step Tread Matte,12242CMST1P,3.00 PC/CTN,PC,1,,12X24,3.00,1,3.00,141.45,COMMISSARY,Matte,11
XTP1624SLHR Left Hand Return Step Nose Textured,XTP1624SLHR,2.00 PC/CTN,PC,1,,16X24,2.00,1,2.00,167.15,COMMISSARY,Textured,11
XTP1624SLHR Left Hand Return Step Nose Textured,XTP1624SLHR,2.00 PC/CTN,PC,1,,16X24,2.00,1,2.00,97.18,COMMISSARY,Textured,11
XTP1624SRHR Right Hand Return Step Nose Textured,XTP1624SRHR,2.00 PC/CTN,PC,1,,16X24,2.00,1,2.00,97.18,COMMISSARY,Textured,12
XTP1648SLHR Left Hand Return Step Nose Textured,XTP1648SLHR,1.00 PC/CTN,PC,1,,16X48,1.00,1,1.00,167.15,COMMISSARY,Textured,12
XTP1648SRHR Right Hand Return Step Nose Textured,XTP1648SRHR,1.00 PC/CTN,PC,1,,16X48,1.00,1,1.00,167.15,COMMISSARY,Textured,12
6482CML41P L-Edging Matte,6482CML41P,2.00 PC/CTN,PC,1,,16X48,2.00,1,2.00,308.56,COMMISSARY,Matte,12
XTP1224TX Xterior Paver Textured,XTP1224TX,7.56 SF/CTN,SF,1,Bluestone,12X24,7.56,1,7.56,5.24,LANESBORO,Textured,12
XTP2424TX Xterior Paver Textured,XTP2424TX,7.60 SF/CTN,SF,1,Bluestone,24X24,7.60,1,7.60,5.24,LANESBORO,Textured,12
XTP2424MT Xterior Paver Matte,XTP2424MT,7.60 SF/CTN,SF,1,,24X24,7.60,1,7.60,4.19,NOMINEE,Matte,13
XTP624GGT Gutter Grid Tile Matte,XTP624GGT,200.00 PC/CTN,PC,1,,6X24,200.00,1,200.00,84.91,NOMINEE,Matte,13
XTP624GT Gutter Tile Matte,XTP624GT,2.00 PC/CTN,PC,1,,6X24,2.00,1,2.00,99.72,NOMINEE,Matte,13
XTP1224C6MT Coping 6cm Return Matte,XTP1224C6MT,2.00 PC/CTN,PC,1,,12X24,2.00,1,2.00,73.13,NOMINEE,Matte,13
XTP1224S Step Nose Matte,XTP1224S,2.00 PC/CTN,PC,1,,12X24,2.00,1,2.00,63.99,NOMINEE,Matte,13
XTP1224SLHR Left Hand Return Step Nose Matte,XTP1224SLHR,2.00 PC/CTN,PC,1,,12X24,2.00,1,2.00,73.48,NOMINEE,Matte,13
XTP1224SRHR Right Hand Return Step Nose Matte,XTP1224SRHR,2.00 PC/CTN,PC,1,,12X24,2.00,1,2.00,73.48,NOMINEE,Matte,13
XTP2424SMT 2424S Step Nose Matte,XTP2424SMT,2.00 PC/CTN,PC,1,,24X24,2.00,1,2.00,74.67,NOMINEE,Matte,13
XTP2424SLHR Left Hand Return Step Nose Matte,XTP2424SLHR,2.00 PC/CTN,PC,1,,24X24,2.00,1,2.00,73.48,NOMINEE,Matte,13
XTP2424SRHR Right Hand Return Step Nose Matte,XTP2424SRHR,2.00 PC/CTN,PC,1,,24X24,2.00,1,2.00,107.19,NOMINEE,Matte,13
R1224XTMBMT Rectangle Stepwise Matte,R1224XTMBMT,17.02 SF/CTN,SF,1,White,12X24,17.02,1,17.02,3.14,REKINDLE,Stepwise Matte,13
SQU2424XTMT Square Stepwise Matte,SQU2424XTMT,15.20 SF/CTN,SF,1,White,24X24,15.20,1,15.20,3.14,REKINDLE,Stepwise Matte,13
XTP2424TX Xterior Paver Textured,XTP2424TX,7.60 SF/CTN,SF,1,,24X24,7.60,1,7.60,5.24,REKINDLE,Textured,13
RCT2448XTMT Rectangle Stepwise Matte,RCT2448XTMT,15.26 SF/CTN,SF,1,White,24X48,15.26,1,15.26,3.14,REKINDLE,Stepwise Matte,13
P43F9MT Bullnose Matte,P43F9MT,10.00 PC/CTN,PC,1,White,3X24,10.00,1,10.00,13.22,REKINDLE,Matte,14
MIXEDMSXTMT Mosaic Stepwise Matte,MIXEDMSXTMT,4.85 SF/CTN,SF,1,White,14x14,4.85,1,4.85,24.47,REKINDLE,Stepwise Matte,14
HER26MSXTMT Herringbone Stepwise Matte,HER26MSXTMT,7.80 SF/CTN,SF,1,White,7x4,7.80,1,7.80,14.54,REKINDLE,Stepwise Matte,15
S36C9 Cove Base Matte,S36C9MT,"22.00 PC/CTN",PC,22,DL25 Off White,6X12,22,,,"14.32",DELEGATE,MATTE
640GGT Gutter Grid Tile Textured,XTP640GGT,"3.00 PC/CTN",PC,3,,6X40,3,,,"152.74",DELEGATE,TEXTURED
640GT Gutter Tile Textured,XTP640GT,"2.00 PC/CTN",PC,2,,6X40,2,,,"210.88",DELEGATE,TEXTURED
1220C6 Coping 6cm Return Textured,XTP1220C6TX,"2.00 PC/CTN",PC,2,,12X20,2,,,"73.13",DELEGATE,TEXTURED
Gradino Step Tread Matte,16402CMST1P,"1.00 PC/CTN",PC,1,,16X40,1,,,"275.56",DELEGATE,MATTE
2020S Step Nose Textured,XTP2020STX,"2.00 PC/CTN",PC,2,,20X20,2,,,"75.73",DELEGATE,TEXTURED
2020SLHR Left Hand Return Step Nose Textured,XTP2020SLHR,"2.00 PC/CTN",PC,2,,20X20,2,,,"99.23",DELEGATE,TEXTURED
2020SRHR Right Hand Return Step Nose Textured,XTP2020SRHR,"2.00 PC/CTN",PC,2,,20X20,2,,,"99.23",DELEGATE,TEXTURED
2040SLHR Left Hand Return Step Nose Textured,XTP2040SLHR,"1.00 PC/CTN",PC,1,,20X40,1,,,"165.42",DELEGATE,TEXTURED
2040SRHR Right Hand Return Step Nose Textured,XTP2040SRHR,"1.00 PC/CTN",PC,1,,20X40,1,,,"165.42",DELEGATE,TEXTURED
Mosaic Tile 12x30 Sheet Random Linear Matte,RANDMS1P2,"7.52 SF/CTN",SF,7.52,DL25 Off White,12x30,,"1",,"15.48",DELEGATE,MATTE
Wall Tile 6X40 Rectangle Matte,6402CML41P,"2.00 PC/CTN",PC,2,DL27 Dark Grey,6X40,2,,,"199.61",DELEGATE,MATTE
Floor Tile 6X24 Rectangle Matte,PLK624MT,"10.23 SF/CTN",SF,10.23,DR07 Luminary White,6X24,10.23,,,"7.81",DIGNITARY,MATTE
Floor Tile 12X24 Rectangle Light Polished,12241LK,"15.12 SF/CTN",SF,15.12,DR08 Superior Taupe,12X24,15.12,,,"9.89",DIGNITARY,LIGHT POLISHED
Floor Tile 12X24 Rectangle Light Polished,RCT1224LP,"17.02 SF/CTN",SF,17.02,DR09 Notable Beige,12X24,17.02,,,"9.89",DIGNITARY,LIGHT POLISHED
Floor Tile 12X24 Rectangle Matte,12241PK,"15.12 SF/CTN",SF,15.12,DR08 Superior Taupe,12X24,15.12,,,"6.06",DIGNITARY,MATTE
Floor Tile 12X24 Rectangle Matte,RCT1224MT,"17.02 SF/CTN",SF,17.02,DR08 Superior Taupe,12X24,17.02,,,"6.06",DIGNITARY,MATTE
Floor Tile 12X24 Rectangle Textured,RCT1224TX,"17.02 SF/CTN",SF,17.02,DR09 Notable Beige,12X24,17.02,,,"7.47",DIGNITARY,TEXTURED
Floor Tile 24X24 Square Matte,24241PK,"15.20 SF/CTN",SF,15.2,DR09 Notable Beige,24X24,15.20,,,"6.38",DIGNITARY,MATTE
Floor Tile 24X24 Xterior Paver Textured,XTP2424TX,"7.60 SF/CTN",SF,7.6,DR07 Luminary White,24X24,7.6,,,"7.03",DIGNITARY,TEXTURED
Floor Tile 24X48 Rectangle Matte,24481P,"15.50 SF/CTN",SF,15.5,DR07 Luminary White,24X48,15.5,,,"9.97",DIGNITARY,MATTE
SC36C9 Cove Base Outcorner Matte,SC36C9MT,"15.00 PC/CTN",PC,15,DR10 Eminence Grey,1X6,15,,,"15.69",DIGNITARY,MATTE
SC36C9 Cove Base Outcorner Matte,SC36C9T1P,"10.00 PC/CTN",PC,10,DR11 Governor Black,1X6,10,,,"13.23",DIGNITARY,MATTE
P43F9 Bullnose Matte,P43F91P1,"10.00 PC/CTN",PC,10,DR12 Herald Brown,3X24,10,,,"10.84",DIGNITARY,MATTE
S36C9 Cove Base Matte,S36C9MT,"22.00 PC/CTN",PC,22,DR09 Notable Beige,6X12,22,,,"15.69",DIGNITARY,MATTE
S36C9 Cove Base Matte,S36C9T1P,"20.00 PC/CTN",PC,20,DR12 Herald Brown,6X12,20,,,"15.33",DIGNITARY,MATTE
XTP624GGT Gutter Grid Tile Textured,XTP624GGT,"200.00 PC/CTN",PC,200,DR07 Luminary White,6X24,200,,,"86.07",DIGNITARY,TEXTURED
XTP624GT Gutter Tile Textured,XTP624GT,"2.00 PC/CTN",PC,2,DR07 Luminary White,6X24,2,,,"102.12",DIGNITARY,TEXTURED
XTP1224C6TX Coping 6cm Return Textured,XTP1224C6TX,"2.00 PC/CTN",PC,2,DR07 Luminary White,12X24,2,,,"76.68",DIGNITARY,TEXTURED
XTP1224S Step Nose Textured,XTP1224S,"2.00 PC/CTN",PC,2,DR07 Luminary White,12X24,2,,,"66.34",DIGNITARY,TEXTURED
XTP1224SLHR Left Hand Return Step Nose Textured,XTP1224SLHR,"2.00 PC/CTN",PC,2,DR07 Luminary White,12X24,2,,,"75.72",DIGNITARY,TEXTURED
XTP1224SRHR Right Hand Return Step Nose Textured,XTP1224SRHR,"2.00 PC/CTN",PC,2,DR07 Luminary White,12X24,2,,,"75.72",DIGNITARY,TEXTURED
Gradino Step Tread Matte,12242CMST1P,"3.00 PC/CTN",PC,3,DR07 Luminary White,12X24,3,,,"63.59",DIGNITARY,MATTE
XTP2424STX Step Nose Textured,XTP2424STX,"2.00 PC/CTN",PC,2,DR07 Luminary White,24X24,2,,,"79.18",DIGNITARY,TEXTURED
XTP2424SLHR Left Hand Return Step Nose Textured,XTP2424SLHR,"2.00 PC/CTN",PC,2,DR07 Luminary White,24X24,2,,,"111.70",DIGNITARY,TEXTURED
XTP2424SRHR Right Hand Return Step Nose Textured,XTP2424SRHR,"2.00 PC/CTN",PC,2,DR07 Luminary White,24X24,2,,,"111.70",DIGNITARY,TEXTURED
Mosaic Tile 12x12 Sheet Abstract Matte,1212MS1P2,"3.88 SF/CTN",SF,3.88,DR07 Luminary White,12X12,,"1",,"19.22",DIGNITARY,MATTE
Floor Tile 12X24 Rectangle Matte,12241P,"9.70 SF/CTN",SF,9.7,DP01 Light Grey,12X24,9.7,,,"7.83",DIPLOMACY,MATTE
20402CM1P Xterior Paver Textured,20402CM1P,"5.38 SF/CTN",SF,5.38,DP02 Medium Grey,20X40,5.38,,,"9.79",DIPLOMACY,TEXTURED
Floor Tile 24X24 Square Matte,24241P,"11.64 SF/CTN",SF,11.64,DP03 Dark Grey,24X24,11.64,,,"8.23",DIPLOMACY,MATTE
24242CM1P Xterior Paver Textured,24242CM1P,"7.76 SF/CTN",SF,7.76,DP03 Dark Grey,24X24,7.76,,,"10.24",DIPLOMACY,TEXTURED
Floor Tile 24X48 Rectangle Matte,24481P,"15.50 SF/CTN",SF,15.5,DP01 Light Grey,24X48,15.5,,,"5.65",DIPLOMACY,MATTE
SC36C9T1P Cove Base Outcorner Matte,SC36C9T1P,"10.00 PC/CTN",PC,10,DP03 Dark Grey,1X6,10,,,"15.06",DIPLOMACY,MATTE
S43F91P1 Bullnose Matte,S43F91P1,"10.00 PC/CTN",PC,10,DP02 Medium Grey,3X24,10,,,"12.56",DIPLOMACY,MATTE
XTP640GGT Gutter Grid Tile Textured,XTP640GGT,"3.00 PC/CTN",PC,3,DP03 Dark Grey,6X40,3,,,"152.96",DIPLOMACY,TEXTURED
XTP640GT Gutter Tile Textured,XTP640GT,"2.00 PC/CTN",PC,2,DP03 Dark Grey,6X40,2,,,"211.34",DIPLOMACY,TEXTURED
XTP1220C6TX Coping 6cm Return Textured,XTP1220C6TX,"2.00 PC/CTN",PC,2,DP03 Dark Grey,12X20,2,,,"73.32",DIPLOMACY,TEXTURED
XTP2020STX Step Nose Textured,XTP2020STX,"2.00 PC/CTN",PC,2,DP03 Dark Grey,20X20,2,,,"76.10",DIPLOMACY,TEXTURED
XTP2020SLHR Left Hand Return Step Nose Textured,XTP2020SLHR,"2.00 PC/CTN",PC,2,DP03 Dark Grey,20X20,2,,,"99.59",DIPLOMACY,TEXTURED
XTP2020SRHR Right Hand Return Step Nose Textured,XTP2020SRHR,"2.00 PC/CTN",PC,2,DP03 Dark Grey,20X20,2,,,"99.59",DIPLOMACY,TEXTURED
XTP2040SLHR Left Hand Return Step Nose Textured,XTP2040SLHR,"1.00 PC/CTN",PC,1,DP03 Dark Grey,20X40,1,,,"166.14",DIPLOMACY,TEXTURED
XTP2040SRHR Right Hand Return Step Nose Textured,XTP2040SRHR,"1.00 PC/CTN",PC,1,DP01 Light Grey,20X40,1,,,"166.14",DIPLOMACY,TEXTURED
XTP2040SRHR Right Hand Return Step Nose Textured,XTP2040SRHR,"2.00 PC/CTN",PC,2,DP03 Dark Grey,20X40,2,,,"166.14",DIPLOMACY,TEXTURED
Mosaic Tile 12x12 Sheet 5/8X1 Brick Joint Matte,581BJMS1P,"3.88 SF/CTN",SF,3.88,DP01 Light Grey,5/8X1,,"1",,"25.02",DIPLOMACY,MATTE
24481P Rectangle Matte,24481P,"15.50 SF/CTN",SF,15.5,DP01 Light Grey,24X48,15.5,,,"9.26",CONSULATE,MATTE
SC36C9T1P Cove Base Outcorner Matte,SC36C9T1P,"10.00 PC/CTN",PC,10,CS05 Premier Grey,1X6,10,,,"13.18",CONSULATE,MATTE
PLK624MT Rectangle Matte,PLK624MT,"10.23 SF/CTN",SF,10.23,HM03 Glitterati Granite,6X24,10.23,,,"7.81",HAUT MONDE,MATTE
12121PK Square Matte,12121PK,"12.22 SF/CTN",SF,12.22,HM04 Leisure Beige,12X12,12.22,,,"5.32",HAUT MONDE,MATTE
RCT1224LP Rectangle Light Polished,RCT1224LP,"17.02 SF/CTN",SF,17.02,HM05 Elite Grey,12X24,17.02,,,"6.85",HAUT MONDE,LIGHT POLISHED
RCT1224MT Rectangle Matte,RCT1224MT,"17.02 SF/CTN",SF,17.02,HM06 Empire Black,12X24,17.02,,,"4.64",HAUT MONDE,MATTE
24241PK Square Matte,24241PK,"15.20 SF/CTN",SF,15.20,HM08 Nobility White,24X24,15.20,,,"5.81",HAUT MONDE,MATTE
Rectangle, Leather,1224X1N,12.00 SF/CTN,SF,12.00,"Crema Europa, Lagos Blue",12X24,12.00,,16.38,NATURAL STONE LIMESTONE,LEATHER
Square, Honed,1818X1U,9.00 SF/CTN,SF,9.00,"Crema Europa, Lagos Blue",18X18,9.00,,22.02,NATURAL STONE LIMESTONE,HONED
Square, Honed,1818X1U,9.00 SF/CTN,SF,9.00,"Crema Europa, Lagos Blue",18X18,9.00,,14.29,NATURAL STONE LIMESTONE,HONED
Rectangle, Honed,361U,7.50 SF/CTN,SF,7.50,Stone Tile,3X6,7.50,,12.83,NATURAL STONE MARBLE,HONED
Rectangle, Honed,361U,10.00 SF/CTN,SF,10.00,Stone Tile,3X6,10.00,,17.24,NATURAL STONE MARBLE,HONED
Rectangle, Polished,361L,7.50 SF/CTN,SF,7.50,Stone Tile,3X6,7.50,,12.76,NATURAL STONE MARBLE,POLISHED
