Item Name,Vendor Item Code,Packaging Information,Unit of Measure,Unit/Box,Item Color,Item Size,PCs in a Box,SF by PC/SHEET,SF By Box,Cost,Group,Finish
ANDERS Floor Tile Square Matte,SQU3232MT,13.78 SF/BOX,SQUARE FOOT,,AN12 Glacier,32X32,,,13.78,3.80,ANDERS,MATTE
ANDERS Floor Tile Square Matte,SQU3232MT,13.78 SF/BOX,SQUARE FOOT,,AN13 Shadow,32X32,,,13.78,3.80,ANDERS,MATTE
ANNAPOLIS Wall Tile Rectangle Glossy,6161P,13.65 SF/BOX,SQUARE FOOT,,AP07 Sand,6X16,,,13.65,2.86,ANNAPOLIS,GLOSSY
AYERS ROCK Floor Tile Square Matte,13131P,16.00 SF/BOX,SQUARE FOOT,,AY01 Solar Summit,13X13,,,16.00,6.49,AYERS ROCK,MATTE
AYERS ROCK Floor Tile Square Matte,13131P,16.00 SF/BOX,SQUARE FOOT,,AY02 Golden Ground,13X13,,,16.00,6.49,AYERS ROCK,MATTE
AYERS ROCK Floor Tile Square Matte,13131P,16.00 SF/BOX,SQUARE FOOT,,AY03 Bronzed Beacon,13X13,,,16.00,6.49,AYERS ROCK,MATTE
AYERS ROCK Floor Tile Square Matte,13201P,12.86 SF/BOX,SQUARE FOOT,,AY04 Majestic Mound,13X20,,,12.86,7.17,AYERS ROCK,MATTE
AYERS ROCK Floor Tile Square Matte,13201P,12.86 SF/BOX,SQUARE FOOT,,AY05 Rustic Remnant,13X20,,,12.86,7.17,AYERS ROCK,MATTE
Lattice Weave Glossy Mosaic Tile 12x12 Sheet,13LWMS1P2,10.00 SF/CTN,SF,10.00,"Emerald, Mustard, Ocean Blue, Orange Burst, Sea Breeze, Plum Crazy, Navy, Currant",12x12,10.00,1.00,10.00,6.12,Group 3,Glossy
Hexagon Glossy Mosaic Tile 12x14 Sheet,15HEXMS1P2,9.72 SF/CTN,SF,9.72,"Emerald, Mustard, Ocean Blue, Orange Burst, Sea Breeze",12x14,9.72,1.00,9.72,6.11,Group 3,Glossy
Straight Joint Glossy Mosaic Tile 12x24 Sheet,22MS1P2,24.00 SF/CTN,SF,24.00,"Emerald, Mustard, Ocean Blue, Orange Burst, Sea Breeze, Plum Crazy, Navy, Currant",12x24,24.00,1.00,24.00,4.72,Group 3,Glossy
Penny Rounds Glossy Mosaic Tile 13x11 Sheet,PNYRDMSGL,10.60 SF/CTN,SF,10.60,"Emerald, Mustard, Ocean Blue, Orange Burst, Sea Breeze, Plum Crazy, Navy, Currant",13x11,10.60,1.00,10.60,10.77,Group 3,Glossy
Herringbone Glossy Mosaic Tile 9x12 Sheet,13HERMS1P2,6.00 SF/CTN,SF,6.00,"Emerald, Mustard, Ocean Blue, Orange Burst, Sea Breeze, Plum Crazy, Navy, Currant",9x12,6.00,1.00,6.00,6.71,Group 3,Glossy
S1/212J, Jolly, Glossy Wall Tile Trim, S1/212J1P2,192.00 PC/CTN,PC,192.00,"Emerald, Mustard, Ocean Blue, Orange Burst, Sea Breeze, Plum Crazy, Navy, Currant",1/2x12,192.00,1.00,192.00,6.67,Group 3,Glossy
Hexagon Matte Mosaic Tile 12x14 Sheet,15HEXMS1P2,10.00 SF/CTN,SF,10.00,"Arctic White/Black Matte",12x14,10.00,1.00,10.00,7.16,Pattern,Matte
Penny Rounds Matte Mosaic Tile 13x11 Sheet,PNYRDMSMT,10.60 SF/CTN,SF,10.60,"Arctic White/Black Matte",13x11,10.60,1.00,10.60,10.84,Pattern,Matte
Arabesque Glossy Mosaic Tile 11x12 Sheet,33ARABMS1P2,7.40 SF/CTN,SF,7.40,"Arctic White, Matte Arctic White, Desert Gray",11x12,7.40,1.00,7.40,7.86,Group 1,Glossy
Arabesque Matte Mosaic Tile 11x12 Sheet,33ARABMS1P2,7.40 SF/CTN,SF,7.40,"Arctic White, Matte Arctic White, Desert Gray",11x12,7.40,1.00,7.40,7.86,Group 1,Matte
Chevron Glossy Mosaic Tile 11x13 Sheet,23CHEVMS1P2,8.80 SF/CTN,SF,8.80,"Arctic White, Matte Arctic White, Desert Gray",11x13,8.80,1.00,8.80,7.84,Group 1,Glossy
Chevron Matte Mosaic Tile 11x13 Sheet,23CHEVMS1P2,8.80 SF/CTN,SF,8.80,"Arctic White, Matte Arctic White, Desert Gray",11x13,8.80,1.00,8.80,7.84,Group 1,Matte
3D Cube Glossy Mosaic Tile 12x13 Sheet,23CUBEMS1P2,8.80 SF/CTN,SF,8.80,"Arctic White, Matte Arctic White, Desert Gray",12x13,8.80,1.00,8.80,7.86,Group 1,Glossy
3D Cube Matte Mosaic Tile 12x13 Sheet,23CUBEMS1P2,8.80 SF/CTN,SF,8.80,"Arctic White, Matte Arctic White, Desert Gray",12x13,8.80,1.00,8.80,7.86,Group 1,Matte
Harlequin Glossy Mosaic Tile 12x13 Sheet,23HARMS1P2,8.80 SF/CTN,SF,8.80,"Arctic White, Matte Arctic White, Desert Gray",12x13,8.80,1.00,8.80,7.84,Group 1,Glossy
Harlequin Matte Mosaic Tile 12x13 Sheet,23HARMS1P2,8.80 SF/CTN,SF,8.80,"Arctic White, Matte Arctic White, Desert Gray",12x13,8.80,1.00,8.80,7.84,Group 1,Matte
Arabesque Glossy Mosaic Tile 11x12 Sheet,33ARABMS1P2,7.40 SF/CTN,SF,7.40,"-",11x12,7.40,1.00,7.40,7.94,Group 2,Glossy
Arabesque Matte Mosaic Tile 11x12 Sheet,33ARABMS1P2,7.40 SF/CTN,SF,7.40,"-",11x12,7.40,1.00,7.40,7.94,Group 2,Matte
